coll_nom,nom_projet,coll_siret,coll_type,projet_date,projet_status,usage_description,mise_en_oeuvre,theme,audience_service,herbergement,nom_algorithme,type_algorithme,donnees_source,donnees_acces,date
Ville de Paris,SmartWaste,21750000000000,Commune,01/01/2023,En déploiement,"Optimisation des routes de collecte des déchets en fonction du remplissage des bacs.",Mobilisation de prestataire(s),Environnement,Agent,Cloud chez un tiers,OptimisationRoute,Machine Learning,Capteurs IoT,Par API, automatisée,12/12/2024
Région Île-de-France,AirQualityWatch,21750000100000,Région,03/2022,En déploiement,"Surveillance en temps réel de la qualité de l'air et alerte aux citoyens.",Projet développé en externe,Santé publique,Grand public,En interne de l'administration,AirQualityPredict,Réseaux de neurones,Capteurs de qualité de l'air,Par API, automatisée,12/12/2024
Ville de Lyon,SmartTraffic,21690000000000,Commune,06/2021,En déploiement,"Optimisation des feux de signalisation pour réduire les embouteillages.",Projet développé en interne,Mobilité,Grand public,Cloud chez un tiers,TrafficOptimizer,Machine Learning,Données de trafic en temps réel,Par API, automatisée,12/12/2024
Ville de Bordeaux,ParkSmart,21330000000000,Commune,09/2022,En déploiement,"Optimisation de l'occupation des places de parking et guidance des usagers.",Mobilisation de prestataire(s),Mobilité,Grand public,Cloud chez un tiers,ParkingOptimizer,Computer vision,Caméras de surveillance,Par API, automatisée,12/12/2024
Département des Bouches-du-Rhône,FireWatch,21130000000000,Département,07/2021,En déploiement,"Détection précoce des incendies de forêt.",Projet développé en externe,Sécurité,Agent,En interne de l'administration,FireDetector,Computer vision,Images satellites,Par API, automatisée,12/12/2024
Ville de Marseille,SocialHousing,21130000100000,Commune,02/2022,En déploiement,"Optimisation de l'attribution des logements sociaux.",Projet développé en interne,Logement,Bénéficiaire,Cloud chez un tiers,HousingAllocator,Machine Learning,Données des demandeurs,Par récupération manuelle,12/12/2024
Région Auvergne-Rhône-Alpes,InfraWatch,21840000000000,Région,04/2021,En déploiement,"Surveillance des ponts et des routes pour détecter les anomalies.",Mobilisation de prestataire(s),Infrastructure,Agent,En interne de l'administration,InfraMonitor,Computer vision,Capteurs et drones,Par API, automatisée,12/12/2024
Ville de Toulouse,SchoolManager,21310000000000,Commune,08/2022,En déploiement,"Optimisation de la gestion des inscriptions et des effectifs scolaires.",Projet développé en interne,Éducation,Établissement scolaire,Cloud chez un tiers,SchoolOptimizer,Machine Learning,Données des inscriptions,Par récupération manuelle,12/12/2024
Ville de Nantes,GreenSpaces,21440000000000,Commune,05/2021,En déploiement,"Optimisation de l'entretien des espaces verts.",Mobilisation de prestataire(s),Environnement,Agent,Cloud chez un tiers,GreenOptimizer,Machine Learning,Données des capteurs de sol,Par API, automatisée,12/12/2024
Département de la Gironde,MedEmergency,21330000100000,Département,11/2022,En déploiement,"Optimisation de la répartition des ambulances et des équipes médicales.",Projet développé en externe,Santé publique,Établissement santé,En interne de l'administration,EmergencyOptimizer,Machine Learning,Données des appels d'urgence,Par API, automatisée,12/12/2024
